,Kod stacji,Nazwa stacji,Rok,Średnia temperatura maksymalna [°C],Średnia temperatura minimalna,Minimalna temperatura przy gruncie [°C],Miesieczna suma opadów,Liczba dni z opadem deszczu,Średnia miesięczna wilgotność względna [%]
107,249200260,ŁĄCKO,2021,23.275,10.7,0.0,132.15,15.5,0.0
108,249200260,ŁĄCKO,2022,24.575,10.625,0.0,90.225,11.0,0.0
109,249200260,ŁĄCKO,2023,23.175,10.775,0.0,105.15,13.75,0.0
110,249200320,ŁOPUSZNA,2015,22.8,8.275,-1.0,51.175,12.0,0.0
111,249200320,ŁOPUSZNA,2016,21.95,8.475,-0.35,103.05,14.0,0.0
112,249200320,ŁOPUSZNA,2017,22.35,8.575,-0.04999999999999993,79.325,15.0,0.0
113,249200360,MIZERNA,2015,22.8,10.125,0.0,52.275,11.75,0.0
114,249200360,MIZERNA,2016,21.85,9.75,0.0,80.7,13.75,0.0
115,249200360,MIZERNA,2017,22.575,9.875,0.0,78.8,13.75,0.0
116,249200360,MIZERNA,2018,22.75,11.175,0.0,111.35000000000001,13.75,0.0
117,249200360,MIZERNA,2019,21.9,10.55,0.0,92.0,11.0,0.0
118,249200360,MIZERNA,2020,21.125,9.65,0.0,113.15,15.25,0.0
119,249200370,KROŚCIENKO,2015,23.625,10.0,0.0,67.975,13.0,0.0
120,249200370,KROŚCIENKO,2016,22.925,10.075,0.0,103.025,14.75,0.0
121,249200370,KROŚCIENKO,2017,23.475,10.05,0.0,85.025,14.0,0.0
122,249200370,KROŚCIENKO,2018,23.725,11.375,0.0,111.625,15.5,0.0
123,249200370,KROŚCIENKO,2019,23.175,11.125,0.0,110.65,14.25,0.0
124,249200370,KROŚCIENKO,2020,22.1,10.25,0.0,141.85,16.0,0.0
125,249200370,KROŚCIENKO,2021,22.950000000000003,10.425,0.0,119.95,16.5,0.0
126,249200370,KROŚCIENKO,2022,24.75,10.525,0.0,60.525,11.25,0.0
127,249200370,KROŚCIENKO,2023,23.25,10.2,0.0,113.82499999999999,14.5,0.0
128,249200420,NIEDZICA,2015,23.0,9.775,0.0,51.85,12.5,0.0
129,249200420,NIEDZICA,2016,21.95,9.775,0.0,87.725,15.5,0.0
130,249200420,NIEDZICA,2017,22.6,9.5,0.0,86.525,15.0,0.0
131,249200420,NIEDZICA,2018,22.75,11.275,0.0,116.8,16.25,0.0
132,249200420,NIEDZICA,2019,22.3,10.45,0.0,101.10000000000001,14.5,0.0
133,249200420,NIEDZICA,2020,21.3,9.525,0.0,117.25,17.25,0.0
134,249200420,NIEDZICA,2021,22.025,9.875,0.0,120.25,17.5,0.0
135,249200420,NIEDZICA,2022,23.525,10.125,0.0,60.5,12.75,0.0
136,249200420,NIEDZICA,2023,21.950000000000003,9.875,0.0,107.94999999999999,14.25,0.0
137,249200470,KRYNICA,2015,22.175,9.125,0.0,67.05,12.0,74.35
138,249200470,KRYNICA,2016,21.6,9.15,0.0,87.875,13.75,79.05000000000001
139,249200470,KRYNICA,2017,21.8,9.075,0.0,106.85,14.5,80.8
140,249200470,KRYNICA,2018,22.35,10.725,0.0,104.475,14.25,80.2
141,249200470,KRYNICA,2019,21.825,9.875,0.0,95.25,14.25,78.1
142,249200470,KRYNICA,2020,20.75,9.2,0.0,123.125,15.25,79.375
143,249200470,KRYNICA,2021,21.1,9.35,0.0,126.375,16.5,78.5
144,249200470,KRYNICA,2022,22.825,9.45,0.0,64.05,11.5,71.525
145,249200480,BUKOWINA TATRZAŃSKA,2015,20.675,10.65,0.0,81.375,13.0,0.0
146,249200480,BUKOWINA TATRZAŃSKA,2016,19.55,9.875,0.0,174.82500000000002,16.5,0.0
147,249200480,BUKOWINA TATRZAŃSKA,2017,19.725,10.275,0.0,104.575,17.0,0.0
148,249200480,BUKOWINA TATRZAŃSKA,2018,20.275,11.15,0.0,166.4,17.0,0.0
149,249200480,BUKOWINA TATRZAŃSKA,2019,19.975,10.6,0.0,126.775,16.75,0.0
150,249200480,BUKOWINA TATRZAŃSKA,2020,18.675,9.775,0.0,159.075,18.0,0.0
151,249200480,BUKOWINA TATRZAŃSKA,2021,19.6,10.2,0.0,166.575,17.0,0.0
152,249200480,BUKOWINA TATRZAŃSKA,2022,20.925,11.0,0.0,103.775,14.25,0.0
153,249200480,BUKOWINA TATRZAŃSKA,2023,19.675,10.4,0.0,129.55,15.25,0.0
154,249200490,MUSZYNA,2015,23.7,9.75,2.875,58.199999999999996,12.0,0.0
155,249200490,MUSZYNA,2016,22.95,9.95,2.5,91.05000000000001,13.5,0.0
156,249200490,MUSZYNA,2017,23.4,10.15,2.5,97.25,13.75,0.0
157,249200490,MUSZYNA,2018,24.125,11.725,4.324999999999999,92.19999999999999,14.25,0.0
158,249200490,MUSZYNA,2019,23.35,11.175,3.725,93.3,14.5,0.0
159,249200490,MUSZYNA,2020,22.0,10.225,2.525,110.1,15.75,0.0
160,249200540,HALA GĄSIENICOWA,2015,15.375,6.7250000000000005,-2.225,162.6,14.5,68.525
161,249200540,HALA GĄSIENICOWA,2016,14.275,6.199999999999999,-2.425,247.925,17.75,74.42500000000001
162,249200540,HALA GĄSIENICOWA,2017,15.15,6.575,-2.5,209.64999999999998,16.75,71.475
163,249200540,HALA GĄSIENICOWA,2018,15.225,7.575,-0.025000000000000022,287.85,18.75,78.4
164,249200550,DOLINA PIĘCIU STAWÓW,2015,15.025,6.6,0.0,169.175,14.75,0.0
165,249200550,DOLINA PIĘCIU STAWÓW,2016,14.100000000000001,5.75,0.0,228.75,16.0,0.0
166,249200550,DOLINA PIĘCIU STAWÓW,2017,14.5,6.3,0.0,215.875,17.25,0.0
167,249200550,DOLINA PIĘCIU STAWÓW,2018,15.0,7.125,0.0,307.95,19.25,0.0
168,249200550,DOLINA PIĘCIU STAWÓW,2019,14.45,6.35,0.0,193.6,16.75,0.0
169,249200550,DOLINA PIĘCIU STAWÓW,2020,13.274999999999999,5.6,0.0,260.65,13.0,0.0
170,249200550,DOLINA PIĘCIU STAWÓW,2021,13.675,6.0,0.0,239.9,13.5,0.0
171,249200550,DOLINA PIĘCIU STAWÓW,2022,14.899999999999999,6.825,0.0,143.97500000000002,14.5,0.0
172,249200550,DOLINA PIĘCIU STAWÓW,2023,14.175,6.375,0.0,204.75,16.25,0.0
173,249200910,MORSKIE OKO,2015,16.425,7.675000000000001,0.0,129.6,16.0,0.0
174,249200920,PIWNICZNA,2015,23.975,10.25,0.0,85.125,12.75,0.0
175,249200920,PIWNICZNA,2016,23.275,10.5,0.0,104.175,15.75,0.0
176,249200920,PIWNICZNA,2017,23.625,10.85,0.0,101.3,15.5,0.0
177,249200920,PIWNICZNA,2018,24.075,12.125,0.0,92.125,14.25,0.0
